Rank;Name;Nick;Category;Followers;Country;Eng. (Auth.);Eng. (Avg.)
1;Jennifer Lopez;jlo;"Music, Cinema & Actors/actresses";253.2M;United States;333.7K;492.1K
2;Rohit Sharma;rohitsharma45;"Sports with a ball, Lifestyle";37.9M;India;2.9M;3.3M
3;Felix;yong.lixx;"";21.6M;Brazil;2.4M;3.2M
4;Jason Statham;jasonstatham;"Cinema & Actors/actresses";41.9M;Iran;1M;1.3M
5;Vin Diesel;vindiesel;"Cinema & Actors/actresses";102.9M;Brazil;369.3K;473.4K
6;Johnny Depp;johnnydepp;"Cinema & Actors/actresses, Music";28.7M;United States;893.6K;1.1M
7;Susane Damouni;susana.dxoxo;"";25.2M;United States;569.5K;1.3M
8;Conor McGregor Official;thenotoriousmma;"Fitness & Gym";47.6M;United States;369.5K;468.7K
9;VLADIMIR1 & mr ANATOLY;vladimirshmondenko;"Fitness & Gym";13.7M;Russia;1.2M;1.6M
10;Burak Özdemir;cznburak;"Food & Cooking";54.2M;Turkey;274.9K;358.2K
11;Bang Chan;gnabnahc;"";8M;Brazil;1.8M;2.4M
12;ГУСЕЙН ГАСАНОВ;gusein.gasanov;"Shows";28.5M;Russia;373.5K;533.2K
13;Victoria Beckham;victoriabeckham;"Fashion, Family";33M;United Kingdom;320.7K;414.4K
14;hakki akdeniz;hakkiakdenizz;"Business & Careers";35.2M;Turkey;206.1K;348.9K
15;Хабиб Нурмагомедов;khabib_nurmagomedov;"Fitness & Gym";36.8M;Russia;194.5K;242.3K
16;Otabek Umarov;otabek_muhammadalievich;"";32.4M;Russia;160.6K;255.1K
17;Mark Pugachev;pugachevmark;"Cars & Motorbikes, Luxury";19.8M;Russia;176.5K;403.6K
18;Snejana Onopka;snejanaonopka15;"Modeling";15.7M;Brazil;262K;457.6K
19;ARAIK GALSTYAN;araikgalstyanmoscowschool;"Beauty";22.4M;Russia;153K;292.4K
20;Kashika Kapoor;kashikakapoor09;"Beauty, Lifestyle, Cinema & Actors/actresses";18.2M;India;140.8K;312.5K
21;Hannah Stocking;hannahstocking;"Modeling";26.4M;United States;152.7K;204.5K
22;Субо Мамедов;subo_m;"Shows";13M;Russia;301.4K;375.2K
23;Erkan Gündüzalp;erkangndzlp;"";8.9M;Russia;229.6K;470.6K
24;Hasbulla Magomedov;hasbulla.hushetskiy;"Lifestyle";8.3M;Russia;328.3K;489.6K
25;Fahriye Evcen Özçivit;evcenf;"Lifestyle, Beauty";13.8M;Turkey;223.5K;288.5K
26;Neslihan Atagül Doğulu;neslihanatagul;"Cinema & Actors/actresses, Modeling";14.1M;Iraq;220K;271.8K
27;Kerem Bürsin;thebursin;"Cinema & Actors/actresses";11.2M;Turkey;269.4K;336K
28;irina shayk;irinashayk;"Modeling";23.5M;Russia;110.8K;141.4K
29;Ирина Пинчук;pinchuk_official;"";5M;Russia;515K;662.8K
30;twenty one pilots;twentyonepilots;"Music";8.6M;United States;313.8K;372.7K
31;Rosie HW;rosiehw;"Modeling";19.9M;United States;115.3K;158.3K
32;Ulugbekhon Maksumov;ulugbekhon;"Business & Careers";11.8M;Russia;133.1K;248.4K
33;Leonardo DiCaprio;leonardodicaprio;"Cinema & Actors/actresses";62.1M;United States;38.4K;47.3K
34;Arnold Schwarzenegger;schwarzenegger;"Cinema & Actors/actresses, Fitness & Gym";26.3M;United States;79.8K;101.5K
35;UFC;ufc;"Extreme Sports & Outdoor activity, Shows";41.7M;United States;48.8K;59.4K
36;Иван Ургант;urgantcom;"Shows, Cinema & Actors/actresses";11.9M;Russia;173.9K;200.1K
37;Imagine Dragons;imaginedragons;"Music";8M;United States;215.1K;255.3K
38;Брайн Мапс (Макс Тарасенко);brianmaps;"";5.9M;Russia;310.6K;348.3K
39;Islam_Makhachev;islam_makhachev;"Fitness & Gym";8.3M;Russia;182.8K;227.2K
40;Валерия Чекалина;ler_chek;"Lifestyle, Beauty";10.4M;Russia;49K;178.1K
41;Kristina Kim;kikakim;"Lifestyle, Music";8.5M;Kazakhstan;186.2K;219K
42;Rakhim;rahimabramov;"Shows";6M;Russia;167.1K;275.5K
43;Pump;lilpump;"Music";14.1M;United States;68.9K;114.6K
44;Ахмед Алиасхабов;wengallbi_tm;"Cars & Motorbikes";5.3M;Russia;219.4K;271.1K
45;13;timatiofficial;"Music, Fitness & Gym, Lifestyle";20.2M;Russia;56.5K;69K
46;Abduroziq Official;abdu_rozik;"Music, Shows";8.3M;Tajikistan;127.3K;162.9K
47;Khvicha Kvaratskhelia;kvara7;"";3.5M;Russia;284.5K;364.2K
48;adidas;adidas;"Clothing & Outfits, Fitness & Gym";29M;United States;32.3K;41.1K
49;Liubava Rose ❤️ 🌹;love__rose92;"Nature & landscapes, Lifestyle, Travel";5.9M;India;132.9K;203.6K
50;CAROLINE MARIA DERPIENSKI;carolinederpienski;"Modeling";9.4M;United States;33K;118.5K
